t1,d1,s1,s2,s3,s4,s5,s6,s7,b1,b2,n1,n2,n3
259,2018/4/6,05,06,15,19,22,29,32,04,31,0,該当なし,3億円
258,2018/3/30,01,03,11,20,23,32,35,25,26,1,3億599万円,0円
257,2018/3/23,05,15,16,26,27,32,35,23,28,1,3億326万円,0円
256,2018/3/16,14,21,24,27,30,33,37,19,20,1,3億547万円,0円
255,2018/3/9,01,04,11,13,15,21,32,05,10,2,3億3446万円,0円
254,2018/3/2,01,12,14,18,23,24,31,07,26,0,該当なし,3億円
253,2018/2/23,06,07,09,12,15,17,24,26,29,1,3億916万円,0円
252,2018/2/16,08,23,24,25,27,30,31,11,17,1,3億1675万円,0円
251,2018/2/9,01,15,20,26,28,34,37,23,30,1,3億1290万円,0円
250,2018/2/2,05,09,10,13,26,30,34,18,23,1,4億7458万円,0円
249,2018/1/26,09,20,28,29,31,34,37,05,25,0,該当なし,2億円
248,2018/1/19,01,05,06,22,25,27,31,12,18,1,4億8680万円,0円
247,2018/1/12,10,12,13,16,34,35,36,11,37,0,該当なし,2億円
246,2018/1/5,03,06,09,19,23,25,31,21,36,1,1億9048万円,0円
245,2017/12/29,02,08,09,11,24,26,27,07,36,2,1億1749万円,0円
244,2017/12/22,02,09,17,22,32,34,36,11,12,1,2億2850万円,0円
243,2017/12/15,06,09,13,18,20,22,30,11,14,2,5億1791万円,0円
242,2017/12/8,01,05,13,17,31,32,35,19,24,0,該当なし,7億円
241,2017/12/1,05,11,12,19,21,26,28,04,20,0,該当なし,4億円
240,2017/11/24,09,12,14,24,29,31,35,05,30,0,該当なし,2億円
239,2017/11/17,08,13,17,21,23,28,37,01,14,2,1億836万円,0円
238,2017/11/10,03,21,26,33,34,35,37,23,31,1,2億2175万円,0円
237,2017/11/3,03,04,07,19,20,21,29,08,33,1,4億9554万円,0円
236,2017/10/27,19,22,23,34,35,36,37,10,30,0,該当なし,2億円
235,2017/10/20,02,09,13,18,21,33,34,03,11,2,4億6595万円,0円
234,2017/10/13,07,14,15,16,23,25,30,05,34,0,該当なし,6億円
233,2017/10/6,03,13,17,25,26,27,29,08,37,0,該当なし,3億円
232,2017/9/29,02,04,07,09,15,35,37,10,23,1,10億円！,1億円
231,2017/9/22,04,15,18,24,25,34,36,10,26,0,該当なし,7億円
230,2017/9/15,03,05,08,15,22,25,27,18,31,0,該当なし,5億円
229,2017/9/8,02,03,09,30,33,36,37,01,32,0,該当なし,2億円
228,2017/9/1,06,11,14,21,24,28,31,22,36,1,2億2020万円,0円
227,2017/8/25,02,03,07,09,22,23,26,29,30,1,2億1172万円,0円
226,2017/8/18,12,17,21,24,26,30,32,10,22,2,4億9877万円,0円
225,2017/8/11,13,15,17,18,20,21,26,25,29,0,該当なし,7億円
224,2017/8/4,02,04,07,10,12,29,34,01,21,0,該当なし,5億円
223,2017/7/28,10,13,19,21,26,33,34,24,25,0,該当なし,2億円
222,2017/7/21,03,09,18,21,23,27,29,35,37,2,2億3749万円,0円
221,2017/7/14,01,02,09,11,17,30,35,13,36,0,該当なし,2億円
220,2017/7/7,07,09,11,18,25,28,35,20,27,1,2億2635万円,0円
219,2017/6/30,06,09,13,14,21,25,31,02,04,1,4億9989万円,0円
218,2017/6/23,15,16,17,21,26,29,30,10,34,0,該当なし,2億円
217,2017/6/16,04,06,26,27,28,35,36,24,34,3,3億6609万円,0円
216,2017/6/9,09,14,22,24,25,36,37,08,28,0,該当なし,8億円
215,2017/6/2,11,12,13,21,29,36,37,07,09,0,該当なし,5億円
214,2017/5/26,02,06,09,12,31,36,37,03,22,0,該当なし,2億円
213,2017/5/19,05,13,15,18,19,24,35,20,23,1,2億2197万円,0円
212,2017/5/12,04,06,10,19,20,24,29,01,27,1,4億8528万円,0円
211,2017/5/5,07,15,22,25,31,32,35,29,36,0,該当なし,2億円
210,2017/4/28,02,04,06,11,15,19,36,23,34,3,8193万円,0円
209,2017/4/21,03,04,06,13,22,31,36,28,34,2,1億2647万円,0円
208,2017/4/14,04,13,16,18,22,26,33,27,29,2,2億6586万円,0円
207,2017/4/7,04,05,10,13,28,32,33,19,26,0,該当なし,2億円
206,2017/3/31,01,06,07,11,27,35,36,22,26,2,4億526万円,0円
205,2017/3/24,04,05,19,31,35,36,37,27,32,0,該当なし,5億円
204,2017/3/17,05,19,20,21,30,34,36,07,12,0,該当なし,2億円
203,2017/3/10,06,13,17,22,32,33,36,12,28,1,2億3690万円,0円
202,2017/3/3,03,07,11,16,22,34,37,29,32,1,2億5436万円,0円
201,2017/2/24,08,11,17,24,28,31,32,12,34,1,2億6373万円,0円
200,2017/2/17,13,14,17,21,27,28,34,01,11,4,6798万円,0円
199,2017/2/10,01,09,17,20,22,28,29,13,16,2,6億3622万円,0円
198,2017/2/3,18,21,31,32,33,36,37,05,25,0,該当なし,8億円
197,2017/1/27,06,08,10,12,16,21,28,14,23,0,該当なし,5億円
196,2017/1/20,07,13,15,25,30,32,37,08,14,0,該当なし,2億円
195,2017/1/13,04,07,12,20,23,24,31,26,35,4,3億7187万円,0円
194,2017/1/6,03,06,27,30,31,32,36,14,23,0,該当なし,11億円
193,2016/12/30,04,06,20,21,22,24,31,09,10,0,該当なし,8億円
192,2016/12/23,12,13,14,19,25,33,34,03,22,0,該当なし,5億円
191,2016/12/16,08,15,21,24,26,27,29,07,30,0,該当なし,2億円
190,2016/12/9,02,11,12,18,21,33,36,08,34,1,2億4026万円,0円
189,2016/12/2,03,07,08,10,18,23,35,01,19,2,1億2310万円,0円
188,2016/11/25,06,15,19,25,26,30,31,14,18,1,4億7820万円,0円
187,2016/11/18,04,06,10,23,24,32,36,15,31,2,8億円！,2億円
186,2016/11/11,05,14,16,19,31,33,37,21,28,0,該当なし,14億円
185,2016/11/4,01,02,04,16,26,29,34,11,12,0,該当なし,10億円
184,2016/10/28,07,14,18,22,23,26,34,02,32,1,8億円！,7億円
183,2016/10/21,06,15,20,26,33,34,37,19,29,0,該当なし,12億円
182,2016/10/14,01,07,10,11,20,23,30,03,37,0,該当なし,8億円
181,2016/10/7,07,08,10,13,19,23,24,15,27,0,該当なし,5億円
180,2016/9/30,01,08,11,21,23,25,28,05,37,0,該当なし,2億円
179,2016/9/23,04,09,12,13,22,26,36,05,33,1,5億8140万円,0円
178,2016/9/16,06,09,11,15,26,34,36,13,37,0,該当なし,3億円
177,2016/9/9,09,15,19,23,25,34,36,02,35,1,8億円！,3千万円
176,2016/9/2,01,11,12,17,22,30,35,15,16,0,該当なし,5億円
175,2016/8/26,06,17,21,31,33,35,37,14,18,0,該当なし,2億円
174,2016/8/19,10,13,14,15,23,31,32,04,29,3,1億7027万,0円
173,2016/8/12,07,09,19,22,24,27,30,04,28,0,該当なし,2億円
172,2016/8/5,05,20,21,27,30,31,36,09,26,1,2億2914万円,0円
171,2016/7/29,01,02,06,21,23,27,28,11,16,1,3億853万円,0円
170,2016/7/22,03,05,06,09,27,32,36,12,24,1,8億円！,4億円
