select z1-z1%10000,z1-z1%10000+10000,count(z1-z1%10000) from loto7 group by (z1-z1%10000);
+-------------+-------------------+--------------------+
| z1-z1%10000 | z1-z1%10000+10000 | count(z1-z1%10000) |
| 9090000     | 9100000           | 1                  |
| 9110000     | 9120000           | 1                  |
| 9180000     | 9190000           | 1                  |
| 9200000     | 9210000           | 1                  |
| 9210000     | 9220000           | 1                  |
| 9230000     | 9240000           | 1                  |
| 9250000     | 9260000           | 1                  |
| 9260000     | 9270000           | 1                  |
| 9280000     | 9290000           | 1                  |
| 9350000     | 9360000           | 1                  |
| 9360000     | 9370000           | 1                  |
| 9380000     | 9390000           | 1                  |
| 9400000     | 9410000           | 2                  |
| 9410000     | 9420000           | 1                  |
| 9420000     | 9430000           | 1                  |
| 9440000     | 9450000           | 1                  |
| 9450000     | 9460000           | 1                  |
| 9470000     | 9480000           | 2                  |
| 9500000     | 9510000           | 2                  |
| 9530000     | 9540000           | 1                  |
| 9540000     | 9550000           | 1                  |
| 9550000     | 9560000           | 2                  |
| 9570000     | 9580000           | 1                  |
| 9610000     | 9620000           | 1                  |
| 9640000     | 9650000           | 1                  |
| 9650000     | 9660000           | 2                  |
| 9670000     | 9680000           | 1                  |
| 9730000     | 9740000           | 1                  |
| 9750000     | 9760000           | 1                  |
| 9770000     | 9780000           | 2                  |
| 9810000     | 9820000           | 1                  |
| 9830000     | 9840000           | 1                  |
| 9850000     | 9860000           | 4                  |
| 9860000     | 9870000           | 1                  |
| 9900000     | 9910000           | 2                  |
| 9920000     | 9930000           | 2                  |
| 10000000    | 10010000          | 1                  |
| 10030000    | 10040000          | 2                  |
| 10040000    | 10050000          | 1                  |
| 10050000    | 10060000          | 1                  |
| 10110000    | 10120000          | 1                  |
| 10120000    | 10130000          | 1                  |
| 10140000    | 10150000          | 1                  |
| 10190000    | 10200000          | 1                  |
| 10210000    | 10220000          | 1                  |
| 10230000    | 10240000          | 1                  |
| 10250000    | 10260000          | 2                  |
| 10270000    | 10280000          | 1                  |
+-------------+-------------------+--------------------+

select z1-z1%100000,z1-z1%100000+100000,count(z1-z1%100000) from loto7 group by (z1-z1%100000);
+--------------+---------------------+---------------------+
| z1-z1%100000 | z1-z1%100000+100000 | count(z1-z1%100000) |
+--------------+---------------------+---------------------+
| 0            | 100000              | 3                   |
| 100000       | 200000              | 6                   |
| 200000       | 300000              | 6                   |
| 300000       | 400000              | 9                   |
| 400000       | 500000              | 3                   |
| 500000       | 600000              | 5                   |
| 600000       | 700000              | 2                   |
| 700000       | 800000              | 5                   |
| 800000       | 900000              | 5                   |
| 900000       | 1000000             | 5                   |
| 1000000      | 1100000             | 3                   |
| 1100000      | 1200000             | 5                   |
| 1200000      | 1300000             | 4                   |
| 1300000      | 1400000             | 3                   |
| 1400000      | 1500000             | 3                   |
| 1500000      | 1600000             | 7                   |
| 1600000      | 1700000             | 1                   |
| 1700000      | 1800000             | 4                   |
| 1800000      | 1900000             | 3                   |
| 1900000      | 2000000             | 1                   |
| 2000000      | 2100000             | 4                   |
| 2100000      | 2200000             | 3                   |
| 2200000      | 2300000             | 5                   |
| 2300000      | 2400000             | 3                   |
| 2400000      | 2500000             | 3                   |
| 2500000      | 2600000             | 3                   |
| 2600000      | 2700000             | 5                   |
| 2700000      | 2800000             | 4                   |
| 2800000      | 2900000             | 4                   |
| 2900000      | 3000000             | 4                   |
| 3000000      | 3100000             | 1                   |
| 3100000      | 3200000             | 6                   |
| 3200000      | 3300000             | 3                   |
| 3300000      | 3400000             | 1                   |
| 3400000      | 3500000             | 3                   |
| 3500000      | 3600000             | 4                   |
| 3600000      | 3700000             | 5                   |
| 3700000      | 3800000             | 6                   |
| 3800000      | 3900000             | 4                   |
| 4000000      | 4100000             | 5                   |
| 4100000      | 4200000             | 7                   |
| 4200000      | 4300000             | 6                   |
| 4300000      | 4400000             | 1                   |
| 4400000      | 4500000             | 8                   |
| 4500000      | 4600000             | 3                   |
| 4600000      | 4700000             | 6                   |
| 4700000      | 4800000             | 3                   |
| 4800000      | 4900000             | 1                   |
| 4900000      | 5000000             | 3                   |
| 5000000      | 5100000             | 9                   |
| 5100000      | 5200000             | 5                   |
| 5200000      | 5300000             | 5                   |
| 5300000      | 5400000             | 5                   |
| 5400000      | 5500000             | 5                   |
| 5500000      | 5600000             | 4                   |
| 5600000      | 5700000             | 6                   |
| 5700000      | 5800000             | 5                   |
| 5800000      | 5900000             | 7                   |
| 5900000      | 6000000             | 6                   |
| 6000000      | 6100000             | 4                   |
| 6100000      | 6200000             | 7                   |
| 6200000      | 6300000             | 4                   |
| 6300000      | 6400000             | 3                   |
| 6400000      | 6500000             | 2                   |
| 6500000      | 6600000             | 4                   |
| 6600000      | 6700000             | 2                   |
| 6700000      | 6800000             | 3                   |
| 6800000      | 6900000             | 4                   |
| 6900000      | 7000000             | 8                   |
| 7000000      | 7100000             | 3                   |
| 7100000      | 7200000             | 3                   |
